"filename", "language", "vue", "CSS", "XML", "SCSS", "Less", "TypeScript", "comment", "blank", "total"
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\components\DirectToLogin.vue", "vue", 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\layout\BasicLayout.vue", "vue", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\layout\UserLayout.vue", "vue", 113, 0, 0, 0, 0, 0, 1, 21, 135
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 8, 12, 33
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\model\calender.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\model\check.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 7, 56
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\model\hospital.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\model\order.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 1, 6, 50
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\model\package.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 2, 19
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\model\user.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 7, 43
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 108, 0, 6, 114
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\stores\userStore.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 6, 6, 69
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\util\request.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 5, 10, 76
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\AppointmentView.vue", "vue", 24, 0, 0, 0, 0, 0, 3, 1, 28
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\AppointmentcancelView.vue", "vue", 37, 0, 0, 0, 0, 0, 1, 1, 39
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\AppointmentfailedView.vue", "vue", 33, 0, 0, 0, 0, 0, 6, 2, 41
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\AppointmentlistView.vue", "vue", 241, 0, 0, 0, 0, 0, 5, 27, 273
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\AppointmentsuccessView.vue", "vue", 36, 0, 0, 0, 0, 0, 1, 2, 39
